"study","country","site","religion","subject_id","researcher","date","subject_gender","subject_age","subject_job","subject_schedule","subject_livedhere","subject_lang","subject_marital","subject_hs","subject_liveswith","subject_servicesperweek","subject_specialrole","spev_score","spev_recoded_score","pv_score","abs_score"
"study 1","Vanuatu","urban","charismatic",99114,"Rsmith",2017-06-16,"Male",25,"Church","N/a","4yrs","South Santo","Singel (Single)","Yes","aotsaet family (Other relatives)","Everyday",1,0.944444444444444,0.925925925925926,1.45454545454545,0.735294117647059
"study 1","Ghana","urban","charismatic",99115,"Jdulin",2017-03-13,"Male",29,"Nurse","36","9 Years","Ewe","Married","Yes","Spouse,Child","7",1,0.777777777777778,0.777777777777778,1.66666666666667,0.735294117647059
"study 1","Ghana","rural","charismatic",99116,"VDzokoto",2017-07-22,"Female",35,"Teacher Assistant","M-f 9-3","3 Years","English, Fante, Twi, Ga","Married Ana aware","Yes Nyew","Multiple children Menye mbofra pii tse","3",1,0.462962962962963,0.461538461538462,1.83333333333333,0.647058823529412
"study 1","Thailand","urban","local",99117,"Faulino",2017-02-07,NA,25,"Masters Student","Student Research Schedule","All Life","Northern At Home, Thai",NA,NA,NA,"2 X Month Or. 1 X Week",NA,0.6,0.269230769230769,NA,0.794117647058823
"study 1","Thailand","urban","charismatic",99118,"Faulino",2017-03-08,"Female",37,"Unstable hours","Private Bus Design","4","Thai","Married","Yes","Spouse","6",1,0.518518518518518,0.62962962962963,0.75,0.558823529411765
"study 1","US","rural","charismatic",99119,"JBrahinsky",2017-04-06,"Female",35,"Middle School Principal","43285","35","Eng","Single","Yes","Child,Friends/roommates","43102",0,0.407407407407407,0.37037037037037,0.166666666666667,0.558823529411765
"study 1","US","rural","charismatic",99120,"JBrahinsky",2017-04-06,"Female",50,"Disabled",NA,"50","Span/eng","Engaged","Yes","Friends/roommates,Child","3",0,0.592592592592593,0.576923076923077,0.666666666666667,0.909090909090909
"study 1","Vanuatu","urban","local",99121,"Rsmith",2017-03-21,"Female",58,"Housewife","N/a","Whole Life","Lelepa","Maret finis (Married)","No","man o woman blong yu (Spouse),wan pikinini (Child)","Twice",1,0.611111111111111,0.666666666666667,1,0.705882352941177
"study 1","US","urban","local",99122,"JBrahinsky",2018-03-29,"Female",48,"Homemaker","Housewife","48","Eng","Married","Yes","Multiple children,Spouse","1",0,0.296296296296296,0.307692307692308,0.363636363636364,0.264705882352941
"study 1","Vanuatu","urban","charismatic",99123,"Rsmith",2017-03-05,"Male",61,"Painter","8hr Per Day,","Ifira Whole Life","Ifira","Maret finis (Married)","No","aotsaet family (Other relatives),man o woman blong yu (Spouse),wan pikinini (Child)","Sunday, Pastors Unity",1,0.759259259259259,0.846153846153846,1.58333333333333,0.764705882352941
"study 1","Vanuatu","urban","local",99124,"Rsmith",2017-06-20,"Male",24,"Unemployed","N/a","24y","bislama","Singel (Single)","Yes","stret mama (Mother),stret papa (Father), brata o sista (Sibling(s))","Youth Mon&sat, Friday",1,0.314814814814815,0.230769230769231,0.666666666666667,0.588235294117647
"study 1","Thailand","urban","charismatic",99125,"Faulino",2017-02-19,"Female",44,"Used To Be Pharmacist, Now Variety","Unstable","26 Years","Thai","Married","Yes","Lives with over 5 people","3",1,0.458333333333333,0.333333333333333,0.75,0.352941176470588
"study 1","US","urban","local",99126,"JBrahinsky",2018-03-28,"Female",53,"Administratir","Lots","29","Portugese","Divorced","Yes","Lives alone","1",0,0.444444444444444,0.458333333333333,1.875,0.794117647058823
"study 1","Ghana","rural","charismatic",99127,"VDzokoto",2017-07-14,"Male",25,"Pastor's Assistant","Varies","3 Years","Fante, English","Widowed Woho kafo efi mu","Yes Nyew","Other relatives Ebusuafo","3",1,0.611111111111111,0.444444444444444,1,0.617647058823529
"study 1","China","rural","local",99128,"Emng",2017-08-12,"Male",55,"Temple Staff","Morning To Night","Born And Raised In County","Henanese","Married","No","Partner,Child","At Temple Daily",1,0.730769230769231,0.875,0.833333333333333,0.676470588235294
"study 1","US","urban","charismatic",99129,"JBrahinsky",2017-10-07,"Male",28,"Lawyer","Multiple","28","Eng","Married","Yes","Spouse","43163",1,0.703703703703704,0.615384615384615,1.25,0.470588235294118
"study 1","US","urban","local",99130,"JBrahinsky",2017-10-08,"Female",52,"Home",NA,"19","Eng","Married","Yes","Multiple children,Spouse","1",1,0.403846153846154,0.4,1.9,0.882352941176471
"study 1","China","rural","local",99131,"Emng",2017-08-12,"Male",57,"Medium","Unstable","N/A, Kaifeng","Henanese","Married","No","Child","Monthly",0,0.518518518518518,0.8,0.833333333333333,0.794117647058823
"study 1","Vanuatu","urban","charismatic",99132,"Rsmith",2017-03-17,"Female",31,"Student Aptc","Full Time","1year","Tanna, Nakaran","Divos (Divorced)","Yes","i bitim 5 (Lives with over 5 people),aotsaet family (Other relatives),wan pikinini (Child)","Twice A Week",1,0.888888888888889,0.703703703703704,1.3,0.735294117647059
"study 1","Vanuatu","urban","charismatic",99133,"Rsmith",2017-06-30,"Male",54,"Ppolice","Full Time","5y","Nwakanamanga","Maret finis (Married)","Yes","man o woman blong yu (Spouse)","Everyday",1,0.648148148148148,0.5,0.916666666666667,0.705882352941177
"study 1","Vanuatu","urban","local",99134,"Rsmith",2017-02-20,"Female",53,"Community Support Officer","8h Per Day Plus","15y","Tanna/narak","Maret finis (Married)","Yes","man o woman blong yu (Spouse),sam pikinini (Multiple children)","Sunday, Saturday Prayer Breakfast",1,0.708333333333333,0.576923076923077,1.72727272727273,0.294117647058824
"study 1","Vanuatu","rural","charismatic",99135,"Rsmith",2017-09-10,"Male",59,"Council Secretary, Pastor",NA,"Life","Emae, Namakura","Maret finis (Married)","No","sam pikinini (Multiple children),man o woman blong yu (Spouse)","Everyday",1,0.608695652173913,0.423076923076923,0.7,1
"study 1","Vanuatu","urban","local",99136,"Rsmith",2017-02-22,"Female",46,"Housework","N/a","25 Y","Bislama/paama","Maret finis (Married)","No","man o woman blong yu (Spouse),sam pikinini (Multiple children)","Every Wik, Youth, Pwmu",1,0.615384615384615,0.538461538461538,1,0.764705882352941
"study 1","US","urban","charismatic",99137,"JBrahinsky",2017-10-08,"Female",27,"Structural Engineer","43317","7","Assyrian","Single","Yes","Lives alone","3",0,0.740740740740741,0.703703703703704,2.22222222222222,0.529411764705882
"study 1","US","urban","charismatic",99138,"JBrahinsky",2017-05-11,"Male",50,"Teacher","745-315","7yrs","Eng","Single","Yes","Mother","3",1,0.333333333333333,0.423076923076923,0.333333333333333,0.529411764705882
"study 1","Ghana","urban","charismatic",99139,"Jdulin",2017-02-08,"Male",26,"Medical Practicioner General","60","8 Years","Twi","Single","Yes","Lives alone","2",0,0.518518518518518,0.296296296296296,0.416666666666667,0.382352941176471
"study 1","Ghana","rural","local",99140,"VDzokoto",2017-08-19,"Female",69,"Bosomfo, Farmer, Used To Sell Kenkey In Ivory Coast And Fish In Lagos","6-12 3 Days A Week","15 Years In Current Location, Most Of Life In The Same Village , But With 4-6 Month Long Migrant Work Trips To Nigeria And Ivory Coast Per Year","Fante","Widowed Woho kafo efi mu","No Oho/ dabi","Other relatives Ebusuafo","N/a",1,0.462962962962963,0.384615384615385,1.66666666666667,0.852941176470588
"study 1","US","rural","local",99141,"JBrahinsky",2018-03-29,"Female",39,"Professor","Many","39","Eng","Married","Yes","Spouse,Multiple children","1",1,0.0740740740740741,0.0384615384615385,0,0.676470588235294
"study 1","Thailand","urban","local",99142,"Faulino",2017-03-13,"Female",35,"Stable hours","Office Research","Whole Life","Northern And Lieu","Single","Yes","Mother,Father,Sibling(s)","Not Weekly",0,0.12962962962963,0.222222222222222,0.833333333333333,0.382352941176471
"study 1","Ghana","rural","local",99143,"VDzokoto",2017-07-04,"Female",51,"Okomfo And Farmer","43379","51 Years In The Region, But 3 Years In The Village","Fante","Divorced Egyae aware","No Oho/ dabi","Child menye me ba tse","Varies",1,0.592592592592593,0.416666666666667,2,0.382352941176471
"study 1","Ghana","rural","local",99144,"VDzokoto",2017-07-18,"Female",57,"Okomfo, Store Owner","Varies","30years","Fante","Married Ana aware","No Oho/ dabi","Spouse Menye me kum/yer","N/A",NA,0.5,0.529411764705882,1.91666666666667,0.970588235294118
"study 1","Ghana","urban","local",99145,"Jdulin",2017-08-10,"Female",40,"Komfo","5-6hours","25","Fante","Married","No","Spouse,Multiple children,Sibling(s)","7",1,0.592592592592593,0.592592592592593,1.16666666666667,0.970588235294118
"study 1","Vanuatu","urban","charismatic",99146,"Rsmith",2017-03-16,"Female",40,"Business- Shop","Normal","10 Y","Fiji","Maret finis (Married)","Yes","sam pikinini (Multiple children),man o woman blong yu (Spouse)","Sunday, Evening Devotion",1,0.740740740740741,0.653846153846154,NA,NA
"study 1","Vanuatu","rural","charismatic",99147,"Rsmith",2017-09-08,"Male",55,"Pastor, Councillor",NA,"Life","Euta Village, Namakura","Maret finis (Married)","Year 9","sam pikinini (Multiple children), brata o sista (Sibling(s)),man o woman blong yu (Spouse)","Once",1,0.537037037037037,0.538461538461538,0.875,0.852941176470588
"study 1","US","rural","local",99148,"JBrahinsky",2017-04-25,"Female",46,"Teacher Musician","Many","24","Eng","Married","Yes","Spouse,Child","2",1,0.388888888888889,0.407407407407407,0.5,0.764705882352941
"study 1","China","rural","local",99149,"Emng",2017-08-12,"Male",54,"Shipping Office Staff","Stable","N/A, Suburbs Of Xinxiang","Henanese","Married","No","Multiple children,Partner","Every Two Weeks",0,0.592592592592593,0.791666666666667,0,0.588235294117647
"study 1","US","urban","local",99150,"JBrahinsky",2018-03-28,"Male",30,"Pastor","50","1","Eng","Single","Yes","Sibling(s)","2",1,0.407407407407407,0.296296296296296,0.666666666666667,0.441176470588235
"study 1","US","urban","charismatic",99151,"JBrahinsky",2017-10-08,"Male",47,"Gentech Engineer","43288","47","Eng","Married","Yes","Spouse,Child","3",1,0.481481481481481,0.416666666666667,0.454545454545455,0.818181818181818
"study 1","US","rural","charismatic",99152,"JBrahinsky",2017-04-06,"Male",36,"Youth Pastor","Random","30","Eng","Married","Yes","Multiple children,Spouse","2",1,0.314814814814815,0.269230769230769,0.583333333333333,0.411764705882353
"study 1","Vanuatu","rural","charismatic",99153,"Rsmith",2017-09-10,"Male",54,"Gardener, Pastor",NA,"Life","Tongariki, Namakura","Maret finis (Married)","No","wan pikinini (Child),aotsaet family (Other relatives),man o woman blong yu (Spouse)","Everyday",1,0.770833333333333,0.64,0.555555555555556,NA
"study 1","Thailand","rural","charismatic",99154,"Faulino",2017-04-20,"Male",58,"Unstable hours","Field Farm","All Life","Northern","Married","No","Spouse","2",1,0.519230769230769,0.423076923076923,1.09090909090909,0.352941176470588
"study 1","China","rural","local",99155,"Emng",2017-08-18,"Female",75,"Spirit Medium","Stable","Born And Raised","Henanese","Married","No","Child,Other relatives","Daily",1,0.25,0.571428571428571,0.25,0.117647058823529
"study 1","Vanuatu","urban","local",99156,"Rsmith",2017-03-18,"Male",27,"Unemployed","N/a","15y","Tongariki","Singel (Single)","Yes","stret mama (Mother),stret papa (Father), brata o sista (Sibling(s)),i bitim 5 (Lives with over 5 people)","Sunday, Youth",1,0.740740740740741,0.740740740740741,0.666666666666667,0.735294117647059
"study 1","US","urban","local",99157,"JBrahinsky",2017-10-08,"Male",47,"Pgm Msnager","43317","16","Eng","Married","Yes","Child,Spouse","1",0,0.185185185185185,0.208333333333333,0.181818181818182,0.382352941176471
"study 1","Vanuatu","rural","charismatic",99158,"Rsmith",2017-09-10,"Female",60,"Garden",NA,"Life","Magarisy Namakura","Wido (Widowed)","No","sam pikinini (Multiple children)","Everyday",1,0.807692307692308,0.730769230769231,0.909090909090909,NA
"study 1","Ghana","rural","charismatic",99159,"VDzokoto",2017-07-15,"Female",38,"Teacher","35 Hours A Week","10 Years","Fante, Ga, English","Married Ana aware","Yes Nyew","Lives with over 5 people NkorÉ”fo a wÉ”bor enum tse","43134",1,0.518518518518518,0.444444444444444,1.41666666666667,0.588235294117647
"study 1","Ghana","rural","charismatic",99160,"VDzokoto",2017-08-21,"Male",31,"Excavator OperTor, Sanitation Inspector","M-f 7:30 A 5","15 Years","Fante, Twi, English","Married Ana aware","Yes Nyew","Spouse Menye me kum/yer","2",0,0.326923076923077,0.37037037037037,1.66666666666667,0.882352941176471
"study 1","Ghana","rural","local",99161,"VDzokoto",2017-08-18,"Female",NA,"Bosomfo And Farmer","43263","15 Years","Fante","Divorced Egyae aware","No Oho/ dabi","Multiple children Menye mbofra pii tse","N/a",1,0.269230769230769,0.115384615384615,1.58333333333333,0.676470588235294
"study 1","Thailand","urban","charismatic",99162,"Faulino",2017-02-17,"Female",26,"Acct Admin","Stable Plus Masters Study","8 Years","Northern And Thai","Single","Yes","Friends/roommates","4",1,0.37037037037037,0.407407407407407,0.727272727272727,0.470588235294118
"study 1","China","rural","charismatic",99163,"Emng",2017-03-07,"Female",60,"Subsistence Farming","Two Months Busy Seasons","43 Years","Nanyang Dialect","Married","No","Spouse","At Church Almost Every Day",1,0.537037037037037,0.6,1,0.441176470588235
"study 1","China","urban","local",99164,"Emng",2017-01-09,"Female",28,"Marketing For Tourism","Stable","10 Years","Mandarin","Single","Yes","Friends/roommates","Once",0,0.148148148148148,0.409090909090909,0.166666666666667,0.588235294117647
"study 1","Ghana","urban","local",99165,"Jdulin",2017-04-25,"Female",21,"Traditionalist","2","21","Fante","Married","No","Spouse","7",1,0.444444444444444,0.4,2,0.705882352941177
"study 1","China","urban","charismatic",99166,"Emng",2017-04-21,"Female",42,"Actress","Loose Unstable Hours","All Her Life","Shanghainese","Single","Yes","Father,Mother","2",1,0.333333333333333,0.36,0.416666666666667,0.382352941176471
"study 1","Vanuatu","rural","charismatic",99167,"Rsmith",2017-09-10,"Female",45,"Gardener",NA,"Life","Mangarisu Tongoa Namakura","Maret finis (Married)","No","wan pikinini (Child),sam pikinini (Multiple children),man o woman blong yu (Spouse),aotsaet family (Other relatives)","2",1,0.788461538461538,0.692307692307692,1,0.676470588235294
"study 1","Thailand","urban","charismatic",99168,"Faulino",2017-06-07,"Female",36,"Unstable hours","Staff At All Church","Entire Life","Northern Thai","Married","Yes","Spouse","6+",1,0.5,0.555555555555556,1.09090909090909,0.705882352941177
"study 1","Ghana","urban","local",99169,"Jdulin",2017-06-02,"Male",32,"Traditionalist","12","32","Fante","Single","Yes","Lives alone","Twice",0,0.555555555555556,0.666666666666667,1.91666666666667,0.705882352941177
"study 1","Ghana","rural","charismatic",99170,"VDzokoto",2017-07-29,"Female",26,"Hair Dresser Apprentice","M-w, Fr - Sa 7 - 4","8 Years","Nzema, Fante, English","Married Ana aware","Yes Nyew","Multiple children Menye mbofra pii tse","43135",1,0.346153846153846,0.296296296296296,1.58333333333333,0.617647058823529
"study 1","US","rural","charismatic",99171,"JBrahinsky",2017-02-18,"Male",59,"Truck Driver","43286","59","Eng/span","Single ,Divorced","Yes","Lives alone","2 Times",0,0.5,0.444444444444444,1.66666666666667,NA
"study 1","Thailand","rural","local",99172,"Faulino",2017-08-01,"Female",29,"Unstable hours","Professor","10, Native Chiang Dao","Northern","Engaged","Yes","Sibling(s),Mother,Father","2/month",0,0.846153846153846,0.653846153846154,1.44444444444444,0.823529411764706
"study 1","US","rural","local",99173,"JBrahinsky",2017-04-07,"Male",40,"Childcare","7-530","40","Eng","Married","Yes","Multiple children,Spouse","43102",0,0.259259259259259,0.192307692307692,1.18181818181818,0.676470588235294
"study 1","US","urban","local",99174,"JBrahinsky",2017-10-07,"Female",30,"Grad Student","Rabdom","6","Eng","Married","Yes","Spouse","0.5",0,0.259259259259259,0.166666666666667,0.888888888888889,0.558823529411765
"study 1","China","urban","local",99175,"Emng",2017-10-06,"Female",32,"IT Sales","Stable","6+ Years","Jiangsu Dialect","Single","Yes","Friends/roommates","Go When Feel Stressed",0,0.4,0.444444444444444,0.272727272727273,0.617647058823529
"study 1","China","rural","charismatic",99176,"Emng",2017-04-30,"Female",37,"Kindergarten Teacher","Stable","Born And Raised","Henan Dialect","Married","No","Multiple children","1",1,0.314814814814815,0.434782608695652,0.583333333333333,0.794117647058823
"study 1","China","rural","charismatic",99177,"Emng",2017-04-30,"Female",68,"Farmer (self And Hired)","Seasonal","Long","Henan Dialect","Married","No","Partner","2+",1,0.444444444444444,0.416666666666667,0.333333333333333,0.147058823529412
"study 1","US","rural","charismatic",99178,"JBrahinsky",2017-04-06,"Male",25,"Facilities Mgr At Church","43355","10","Eng","Married","Yes","Spouse","1",1,0.333333333333333,0.37037037037037,1,0.558823529411765
"study 1","Vanuatu","urban","charismatic",99179,"Rsmith",2017-03-30,"Female",54,"National Coordinator, Volunteer","Irregular","3 Months","Namakura, Tongoa","Singel (Single)","No","i bitim 5 (Lives with over 5 people),aotsaet family (Other relatives),stret papa (Father)","43134",1,0.961538461538462,0.92,1.25,0.970588235294118
"study 1","China","urban","charismatic",99180,"Emng",2017-03-26,"Female",54,"Kindergarten Teacher","On Break Now","Born And Raised","Shanghainese","Married","Yes","Partner","3",0,0.111111111111111,0.153846153846154,0.416666666666667,0.558823529411765
"study 1","Thailand","rural","charismatic",99181,"Faulino",2017-04-19,"Female",48,"Unstable hours","Fruit Farmer","Back 10+ Years","Northern","Married,Divorced","No","Spouse,Father,Sibling(s)","43163",1,0.537037037037037,0.583333333333333,1.81818181818182,0.558823529411765
"study 1","US","rural","charismatic",99182,"JBrahinsky",2017-04-06,"Female",20,"Nursing Asst","430-730","20","Eng/span","Single","Yes","Mother,Father,Sibling(s)","1",0,0.296296296296296,0.296296296296296,1.16666666666667,0.205882352941176
"study 1","China","urban","local",99183,"Emng",2017-01-09,"Male",43,"Advertising","Stable","Almost 30 Years","Zhejiang Dialect","Divorced","Yes","Mother","Less Than One",0,0.24,0.409090909090909,1,0.588235294117647
"study 1","China","urban","charismatic",99184,"Emng",2017-03-26,"Male",29,"IT","Stable","4years","Anhui Dialect","Single","Yes","Friends/roommates","2",1,0.259259259259259,0.222222222222222,0.75,0.441176470588235
"study 1","China","urban","local",99185,"Emng",2017-01-09,"Male",52,"Corporate Accountant","Stable","Born And Raised","Shanghainese","Married","Yes","Child,Spouse","Less Than One",0,0.314814814814815,0.423076923076923,0.333333333333333,0.676470588235294
"study 1","China","urban","charismatic",99186,"Emng",2017-03-26,"Male",31,"Marketing","Flexible","6.5 Years","Fuzhounese","Married","Yes","Partner,Friends/roommates","3",0,0.461538461538462,0.666666666666667,0.666666666666667,0.588235294117647
"study 1","Thailand","urban","local",99187,"Faulino",2017-03-17,"Female",38,"Unstable hours","Researcher","From Pitsanilok","Country","Single","Yes","Lives alone","Weekly",0,0.5,0.518518518518518,NA,NA
"study 1","Ghana","urban","charismatic",99188,"Jdulin",2017-02-23,"Female",33,"Administrative Assistant","40","Five Years","Fante","Single","Yes","Lives alone","16 Years",1,0.62962962962963,0.555555555555556,2.66666666666667,0.323529411764706
"study 1","Vanuatu","rural","charismatic",99189,"Rsmith",2017-09-10,"Female",46,"Gardener",NA,"Life","Panita Tongoa, Nakanamang","Divos (Divorced)","No","man o woman blong yu (Spouse),stret mama (Mother), brata o sista (Sibling(s)),sam pikinini (Multiple children)","Everyday",1,0.78,0.740740740740741,1,0.558823529411765
"study 1","Vanuatu","urban","local",99190,"Rsmith",2017-02-18,"Female",69,"Retired Teacher","N/a","50years","Namakura, Tongoa","Married","Yes","Spouse,Child,Other relatives,Lives with over 5 people","2 Inc Women",1,0.296296296296296,0.296296296296296,0.181818181818182,0.823529411764706
"study 1","Thailand","rural","charismatic",99191,"Faulino",2017-04-05,"Male",47,"Unstable hours","Freelance Writer","All Life","Northern","Married","Yes","Child,Spouse","1x",0,0.333333333333333,0.44,1.41666666666667,0.823529411764706
"study 1","US","rural","local",99192,"JBrahinsky",2018-03-29,"Male",43,"Mgr","43287","18","Eng","Married","Yes","Multiple children,Spouse","1",0,0.259259259259259,0.260869565217391,0.833333333333333,0.382352941176471
"study 1","Ghana","rural","charismatic",99193,"VDzokoto",2017-08-13,"Female",30,"Seamstress And Farmer","M-f 7-4","10 Years","Fante, French","Married Ana aware","No Oho/ dabi","Spouse Menye me kum/yer","2",1,0.259259259259259,0.222222222222222,0.363636363636364,0.529411764705882
"study 1","Ghana","rural","local",99194,"VDzokoto",2017-07-15,"Female",35,"Okomfo","Varies","17 years","Fante","Married Ana aware","Yes Nyew","Lives with over 5 people NkorÉ”fo a wÉ”bor enum tse","Varies",1,0.6,0.363636363636364,1.08333333333333,0.382352941176471
"study 1","US","urban","charismatic",99195,"JBrahinsky",2018-03-22,"Female",70,"Retired Professor",NA,"Firever","Eng","Divorced","Yes","Lives alone","1",1,0.307692307692308,0.24,1.2,0.709677419354839
"study 1","Ghana","urban","local",99196,"Jdulin",2017-06-07,"Male",57,"Traditionalist And Mason","6 Hours","57","Fante","Married","No","Spouse,Multiple children","Six",1,0.0384615384615385,0.08,1.66666666666667,0.941176470588235
"study 1","US","rural","local",99197,"JBrahinsky",2017-04-26,"Male",47,"Physics Professor","Many","10","Eng","Married","Yes","Child,Spouse","1",0,0.111111111111111,0.037037037037037,0.166666666666667,0.264705882352941
"study 1","China","urban","charismatic",99198,"Emng",2017-03-26,"Male",34,"Banker","Stable","Born And Raised","Shanghainese","Single","Yes","Mother,Father","2",0,0.12962962962963,0.136363636363636,0.727272727272727,0.735294117647059
"study 1","Vanuatu","urban","charismatic",99199,"Rsmith",2017-03-23,"Male",51,"Unemployed","N/a","21y","Makira, Namakira","Maret finis (Married)","Yes","man o woman blong yu (Spouse),sam pikinini (Multiple children)","Sunday, Devotion-2 Or 3",1,0.611111111111111,0.518518518518518,0.833333333333333,0.941176470588235
"study 1","US","urban","charismatic",99200,"JBrahinsky",2017-10-08,"Male",60,"Bldg Grounds Repair","43348","0.6","Eng","Married","Yes","Spouse","1",0,0.222222222222222,0.227272727272727,0,0.235294117647059
"study 1","Ghana","urban","local",99201,"Jdulin",2017-04-25,"Female",37,"Traditionalist","2-3hours","Forgot To Ask","Fante","Divorced","No","Lives alone","7",1,0.703703703703704,0.666666666666667,2.25,0.941176470588235
"study 1","Vanuatu","rural","charismatic",99202,"Rsmith",2017-09-10,"Female",65,"Gardener",NA,NA,"Silimauri, Tongoa- Namaku","Maret finis (Married)","No","wan pikinini (Child),man o woman blong yu (Spouse)","3",1,0.5,0.461538461538462,1.22222222222222,0.558823529411765
"study 1","US","urban","charismatic",99203,"JBrahinsky",2017-10-07,"Male",41,"Teacher","43284","41","Eng","Married","Yes","Spouse,Multiple children","2",1,0.518518518518518,0.444444444444444,0.333333333333333,0.264705882352941
"study 1","Thailand","urban","charismatic",99204,"Faulino",2017-02-09,NA,39,"Professor","9-5, But Clearly More,","Life","Northern And Thai","à¹‚à¸ªà¸”","à¹„à¸”à¹‰","à¹à¸¡à¹ˆ,à¸žà¹ˆà¸­,à¸à¸²à¸•à¸´à¸„à¸™à¸­à¸·à¹ˆà¸™,à¸žà¸µà¹ˆà¸™à¹‰à¸­à¸‡","Lots",NA,0.5,0.192307692307692,1.18181818181818,0.588235294117647
"study 1","US","rural","charismatic",99205,"JBrahinsky",2017-02-20,"Female",21,"Fitness Center Me N Eds Pizza- Student","6am-10pm -lots","16","Eng","Single","Yes","Mother","2 Home Group And Church",1,0.407407407407407,0.346153846153846,0.583333333333333,0.676470588235294
"study 1","Ghana","urban","local",99206,"Jdulin",2017-08-04,"Male",24,"Dancer And Drummer","2","24","Fante","Single","Yes","Lives alone","6",1,0.296296296296296,0.259259259259259,0.666666666666667,0.705882352941177
"study 1","China","urban","local",99207,"Emng",2017-01-09,"Female",35,"Real Estate","Steady","15 Years","Jiangsu Dialect","Single","Yes","Friends/roommates","One",0,0.148148148148148,0.2,1,0.705882352941177
"study 1","Ghana","rural","charismatic",99208,"VDzokoto",2017-07-20,"Female",30,"Teacher","8-2:30","5 Years","Fante, English","Married Ana aware","Yes Nyew","Spouse Menye me kum/yer","3",1,0.37037037037037,0.333333333333333,1.58333333333333,0.617647058823529
"study 1","Ghana","rural","local",99209,"VDzokoto",2017-08-20,"Male",NA,"Farmer, Nyisinyi","6-6 On Farm Days","47 Years","Ewe, Fante","Married Ana aware","No Oho/ dabi","Multiple children Menye mbofra pii tse","N/a",1,0.230769230769231,0.28,1.75,0.470588235294118
"study 1","Vanuatu","urban","charismatic",99210,"Rsmith",2017-04-02,"Male",26,"Panels, Truck.","Normal Hours","17y","Tongoa-nakanamanga, Namak","Blokem gel (Engaged)","Yes","yu wan (Lives alone)","7days A Week",1,0.666666666666667,0.583333333333333,1.08333333333333,0.823529411764706
"study 1","US","rural","local",99211,"JBrahinsky",2017-04-06,"Female",48,"Mom","All","19","Eng","Married","Yes","Spouse,Multiple children","1",1,0.425925925925926,0.407407407407407,0.181818181818182,0.529411764705882
"study 1","US","urban","charismatic",99212,"JBrahinsky",2017-10-07,"Female",37,"Mom",NA,"37","Eng","Married","Yes","Multiple children,Spouse","2",1,0.518518518518518,0.6,1.16666666666667,0.794117647058823
"study 1","Thailand","rural","local",99213,"Faulino",2017-07-26,"Male",35,"Stable hours","Sales","All Life","Northern","Married","Yes","Mother,Father,Spouse,Child","Depends",0,0.185185185185185,0.307692307692308,0.3,0.470588235294118
"study 1","China","urban","charismatic",99214,"Emng",2017-08-18,"Male",40,"Design/preach","Unstable","Over 10 Years","Qingdao Dialect","Single","Yes","Friends/roommates","3",0,0.574074074074074,0.592592592592593,0.6,0.352941176470588
"study 1","China","rural","charismatic",99215,"Emng",2017-04-02,"Female",40,"Farmer, Preacher","Unstable","20 Years","Henan Dialect","Married","No","Child,Spouse","2",1,0.518518518518518,0.538461538461538,0.3,0.352941176470588
"study 1","US","urban","local",99216,"JBrahinsky",2017-10-08,"Female",72,"Retired",NA,"15","Eng","Married","Yes","Spouse","1",1,0.351851851851852,0.32,0.2,0.911764705882353
"study 1","US","rural","charismatic",99217,"JBrahinsky",2017-02-21,"Male",43,"Migrant Worker - Pruning Vines","7-430","43","Spanish","Married","Yes","Sibling(s),Spouse,Multiple children","3",1,0.574074074074074,0.481481481481481,0.833333333333333,0.852941176470588
"study 1","Ghana","urban","local",99218,"Jdulin",2017-08-04,"Male",34,"Komfo","1","34","Fante","Married","No","Spouse","Six",0,0.703703703703704,0.857142857142857,2.33333333333333,0.852941176470588
"study 1","China","urban","local",99219,"Emng",2017-08-18,"Female",41,"Company Owner","Relatively Flexible","All Her Life","Shanghainese","Married","Yes","Spouse","None",0,0.148148148148148,0.222222222222222,0.363636363636364,0.617647058823529
"study 1","China","urban","charismatic",99220,"Emng",2017-04-21,"Female",29,"Sales","Stable","7 Years","Mandarin","Single","Yes","Friends/roommates","3",1,0.333333333333333,0.307692307692308,0.0833333333333333,0.470588235294118
"study 1","US","urban","charismatic",99221,"JBrahinsky",2017-10-07,"Male",36,"Childrens Pastor","40","3","Eng","Married","Yes","Multiple children,Spouse",NA,1,0.703703703703704,0.909090909090909,1,0.529411764705882
"study 1","Ghana","urban","charismatic",99222,"Jdulin",2017-03-15,"Female",28,"Student Nurse","4 Hrs","6 Years","Fante","Single","Yes","Sibling(s)","One Service",1,0.481481481481481,0.444444444444444,2.41666666666667,0.823529411764706
"study 1","Ghana","urban","local",99223,"Jdulin",2017-04-27,"Male",58,"Street Sweeper","4 Hours","58","Fante","Divorced","No","Multiple children","43163",1,0.222222222222222,0.259259259259259,1,0.794117647058823
"study 1","China","urban","charismatic",99224,"Emng",2017-03-07,"Female",36,"Sales","43348","6 Years","Need Double Check","Single","Yes","Lives alone","2 Or More",0,0.52,0.62962962962963,1.63636363636364,0.470588235294118
"study 1","Ghana","rural","charismatic",99225,"VDzokoto",2017-07-24,"Female",24,"Sells Drinks","Varies","14 Years","Fante, English","Single","Yes","Mother","3",1,0.481481481481481,0.444444444444444,0.916666666666667,0.588235294117647
