"study","country","religion","subject_id","order_cb","interviewer","language","subject_gender","subject_age","subject_ethnicity","subject_afford","subject_ses","subject_occupation_parent","subject_occupation","subject_education","subject_education_text","subject_urban_rural","subject_religion","subject_religion_parent","subject_religiosity","subject_church","subject_tongues1","subject_tongues2","spev_score","por_score"
"study 2","Ghana","general population",40603,1,"Doris and Esther","English","Male",25,"Ashanti",0,0,"Farmers","Student",NA,NA,"Rural","Christianity","Christianity",2,"Church of Christ",0,0,0.2,0.8125
"study 2","Ghana","general population",40604,1,"Doris and Esther","English","Male",49,"Fante",1,1,"Diseased","Teacher","Bachelors degree",NA,"Urban","Christianity","Christianity",1,"Anglican",1,1,0.210526315789474,0.53125
"study 2","Ghana","general population",40606,1,"Doris and Esther","Missing Data","Female",45,"Abradzi",1,-2,"Seller","I cut fire wood to sell","No HS degree",NA,"Rural","Nakaba","My Parents does not attend church",1,"Nakaba",1,1,0.15,0.625
"study 2","Ghana","general population",40607,1,"Doris and Esther","Missing Data","Female",59,"Upper East (Kangera)",0,-1,"They are not working","Bailiff (I serve letters at the court)","No HS degree",NA,"Urban","Christianity","Christianity",1,"Roman Catholic",0,0,0.421052631578947,0.78125
"study 2","Ghana","general population",40608,1,"Doris and Esther","Missing Data","Female",28,"Fante",0,-1,"Mum: Trader, Dad: Seaman","Seamstress","No HS degree",NA,"Urban","Jehovah Witness","Jehovah Witness",2,"Jehovah Witness",0,0,0.25,0.5625
"study 2","Ghana","general population",40609,1,"Doris and Esther","Missing Data","Female",45,"Fante (Gomoa)",0,1,"Farmers","Farmer","No HS degree",NA,"Urban","Christianity","Christianity",2,"Wake up Bible Church (Arise)",0,0,0.75,0.75
"study 2","Ghana","general population",40610,1,"Doris and Esther","English","Male",31,"Ashanti",0,2,"Dad: Dealer in Cars (Businessman)","Student","Bachelors degree",NA,"Rural","Christianity","Christianity",1,"Presbyterian",0,0,0.25,0.84375
"study 2","Ghana","general population",40611,1,"Doris and Esther","English","Male",31,"Fante",1,1,"Traders","Teaching","Other graduate degree",NA,"Urban","Christianity","Christianity",2,"Roman Catholic",1,1,0.35,0.5625
"study 2","Ghana","general population",40612,1,"Doris and Esther","Missing Data","Female",31,"Fante",0,0,"Farmers","Seamstress","No HS degree",NA,"Urban","Christianity","Christianity",2,"Catholic",0,0,0.1,0.71875
"study 2","Ghana","general population",40613,1,"Doris and Esther","Missing Data","Female",35,"Wasa",0,-1,"Mom: Trader, Dad: Work at the railways / Do not specific work","Trader","No HS degree",NA,"Urban","Jehovah's Witness","Mom: Catholic, Dad: Catholic",2,"Jehovah's Witness",0,0,0.25,0.84375
"study 2","Ghana","general population",40614,1,"Doris and Esther","English","Male",42,"Ashanti",1,1,"Mum: Trader, Dad: Driver","District Manager","Other graduate degree",NA,"Rural","Christianity","Christianity",1,"Catholic",1,1,0.15,0.84375
"study 2","Ghana","general population",40615,1,"Doris and Esther","Missing Data","Male",48,"Ga & Ewe",0,-1,"Traders","Trader","Some college",NA,"Urban","Christianity","Christianity",2,"Methodist",0,0,0.3,0.8125
"study 2","Ghana","general population",40617,1,"Doris and Esther","English","Female",23,"Fante",0,1,"Trader","Caterer",NA,NA,"Rural","Christianity","Christianity",2,"Church of Christ",0,0,0.15,0.78125
"study 2","Ghana","general population",40618,1,"Doris and Esther","Missing Data","Female",53,"Fante",1,-1,"Traders","I don't work","No HS degree",NA,"Urban","Christianity","Christianity",1,"Presbyterian",1,1,0.4,0.65625
"study 2","Ghana","general population",40619,1,"Doris and Esther","Missing Data","Male",54,"Fante",1,0,"Farmers","Teaching","Bachelors degree",NA,"Urban","Islamic","Mom: Christian, Dad: Muslim",-1,"Mosque",1,1,0.05,0.03125
"study 2","Ghana","general population",40620,1,"Doris and Esther","Missing Data","Male",65,"Fante",1,0,"Trader","Retired Civil Service Personnel",NA,NA,"Urban","Christianity","Christianity",1,"Roman Catholic",1,1,0.4,0.75
"study 2","Ghana","general population",40621,1,"Doris and Esther","Missing Data","Female",30,"Fante",0,1,"Mom: Trader, Dad: Farmer","Trader","No HS degree",NA,"Urban","Muslim","Christians",2,"Tijinian",0,0,0.105263157894737,0.5625
"study 2","Ghana","general population",40622,1,"Doris and Esther","Missing Data","Female",58,"Fante",0,0,"Dad: Mason, Mum: Trader","Homemaker","No HS degree",NA,"Urban","Christianity","Christianity",2,"Roman Catholic",0,0,0.3,0.6875
"study 2","Ghana","general population",40623,1,"Doris and Esther","Missing Data","Male",54,"Fante",0,-2,"Mom: Trader, Dad: Steel Bending","Forman (Community Development)",NA,NA,"Urban","Muslim","Muslim",2,"Din-Islam",0,0,0.2,0.9375
"study 2","Ghana","general population",40624,1,"Doris and Esther","Missing Data","Female",24,"Fante",0,1,"Dad: Driver","Seamstress","No HS degree",NA,"Urban","Christianity","Christianity",1,"Theocrusahthecy",0,0,0.1,0.9375
"study 2","Ghana","general population",40625,1,"Doris and Esther","Missing Data","Female",41,"Fante",0,NA,"Trader","Trader","No HS degree",NA,"Urban","Christianity","Christianity",2,"Church of Christ",0,0,0.05,0.78125
"study 2","Ghana","general population",40626,1,"Doris and Esther","Missing Data","Female",76,"Fant and Ga",0,-1,"Mum: Business woman, Dad: Doctor","Poultry farmer",NA,NA,"Urban","Jehovah Witness","Christianity",1,"Jehovah Witness",0,0,0,0.34375
"study 2","Ghana","general population",40627,1,"Doris and Esther","English","Male",30,"Fante",1,2,"Petty Trading","Teaching","Bachelors degree",NA,"Urban","Christianity","Christianity",2,"Methodist",1,1,0.45,0.5
"study 2","Ghana","general population",40628,1,"Doris and Esther","Missing Data","Female",77,"Fante/Hzema",1,-1,"Trader","Trader","No HS degree",NA,"Urban","Christianity","Christianity",1,"Anglican",1,1,0.2,0.5625
"study 2","Ghana","general population",40629,1,"Doris and Esther","Missing Data","Male",33,"Hausa",1,-1,"Mom: Trader, Dad: Security","Construction field / Steel burner","No HS degree",NA,"Urban","Muslim","Muslim",2,"Tijania",1,1,0.105263157894737,0.6875
"study 2","Ghana","general population",40630,1,"Doris and Esther","Missing Data","Female",30,"Hausa",1,-1,"Mum: Trader / Seller, Dad: Driver","Trader / Seller","No HS degree",NA,"Urban","Muslim","Muslim",2,"Ahimadiya",1,1,0.2,0.625
"study 2","Ghana","general population",40631,1,"Doris and Esther","Missing Data","Female",30,"Fante / Fanti",0,1,"Trader","Catreer","Vocational school",NA,"Urban","Christianity","Christianity",2,"Methodist",0,0,0.45,0.90625
"study 2","Ghana","general population",40632,1,"Doris and Esther","Missing Data","Female",34,"Fante",0,1,"Farmers","Trader","No HS degree",NA,"Urban","Christianity","Christianity",1,"Methodist of Church",0,0,0.3,0.5625
"study 2","Ghana","general population",40633,1,"Doris and Esther","Missing Data","Female",30,"Fante",1,0,"Farmers","Hairdresser","No HS degree",NA,"Urban","Christianity","Christianity",2,"Church of Christ",1,1,0.25,0.84375
"study 2","Ghana","general population",40634,1,"Doris and Esther","Missing Data","Male",22,"Akan",1,0,"Teacher","Student",NA,NA,"Rural","Christianity","Christianity",1,"SDA",1,1,0.15,0.9375
"study 2","Ghana","general population",40635,1,"Doris and Esther","Missing Data","Female",39,"Fante",0,0,"Mom: Trader, Dad: Prison officer","Trader","No HS degree",NA,"Urban","Christianity","Christianity",2,"Reform A Christian Apostle Church",0,0,0.4,0.75
"study 2","Ghana","general population",40636,1,"Doris and Esther","English","Male",39,"Akan",1,1,"Mom: Retired Agric Officer, Dad: Retired Military Officer","Teacher","Bachelors degree",NA,"Urban","Christianity","Christianity",1,"Methodist",1,1,0.15,0.4375
"study 2","Ghana","general population",40637,1,"Doris and Esther","Missing Data","Female",35,"Ewutu / Fante",0,1,"Mom: Businesswoman, Dad: Herbal Practitioner","Teaching","Bachelors degree",NA,"Urban","Christianity","Christianity",2,"Church of Christ",0,0,0.421052631578947,0.75
"study 2","Ghana","general population",40638,1,"Doris and Esther","English","Female",23,"Akan (Fanti)",1,0,"Business Fellows (both of them in businesses - business man & woman)","student","Some college",NA,"Urban","Christianity","Christianity",2,"Methodist",1,1,0.5,0.8
"study 2","Ghana","general population",40639,1,"Doris and Esther","English","Male",28,"Akan (Ahanta)",1,1,"Mom: Retired Businesswoman, Dad: Retired Engineer","Student","Other graduate degree",NA,"Urban","Christianity","Christianity",2,"Methodist",1,1,0.388888888888889,0.5
"study 2","Ghana","general population",40640,1,"Doris and Esther","English","Male",30,"Akan (Fanti)",1,0,"Dad: Businessman, Mom: Business woman","Student","Bachelors degree",NA,"Urban","Christianity","Christianity",1,"Methodist",1,1,0.3,0.75
"study 2","Ghana","general population",40641,1,"Doris and Esther","English","Male",21,"Ewe",1,0,"Mom: Police officer, Dad: Teacher","Student","Bachelors degree",NA,"Urban","Christianity","Christianity",1,"Presbyterian",1,1,0.2,0.5
"study 2","Ghana","general population",40642,1,"Doris and Esther","English","Male",16,"Ewe",1,1,"Mum: Police, Dad: Police","Student","No HS degree",NA,"Urban","Christian","Christian",1,"Roman Catholic",1,1,0.25,0.75
"study 2","Ghana","general population",40643,1,"Doris and Esther","Missing Data","Female",62,"Fante",0,-1,"Mom: Trader, Dad: Missing Data","Trader","No HS degree",NA,"Urban","Christian","Christian",2,"Roman Catholic",0,0,0.25,0.8125
"study 2","Ghana","general population",40644,1,"Doris and Esther","Missing Data","Male",35,"Ga/Fante",0,0,"Mum: Trader, Dad: Retired Office Ghana Telecom","Culture Instructor",NA,NA,"Urban","Christianity","Christianity",2,"Roman Catholic",0,0,0.4,0.90625
"study 2","Ghana","general population",40646,1,"Doris and Esther","Missing Data","Female",30,"Fante",0,-2,"Mum: Fishmonger, Dad: Fisherman","Hairdresser","No HS degree",NA,"Urban","Christian","Christians",2,"Roman Catholic",0,0,0.55,0.6875
"study 2","Ghana","general population",40647,1,"Doris and Esther","Missing Data","Male",32,"Nothner",0,1,"Farmers","Assistant Admisnistrator",NA,NA,"Rural","Christianity","Christianity",2,"Roman Catholic",0,0,0.333333333333333,0.78125
"study 2","Ghana","general population",40648,1,"Doris and Esther","English","Male",44,"Ewe",1,1,"Mum: Self employed; Dad: Public","Public Servant","Other graduate degree",NA,"Rural","Christians","Christians",2,"Presbyterian",1,1,0.1,0.46875
"study 2","Ghana","general population",40649,1,"Doris and Esther","English","Male",45,"Fante",1,1,"Mom: Farmer Customer Care Officer, Dad: Musician","Electrician","Vocational school",NA,"Urban","Christianity","Christianity",2,"Anglican",1,1,0.55,0.8125
"study 2","Ghana","general population",40650,1,"Doris and Esther","Missing Data","Male",35,"Dagari",0,1,"Farming","General Worker (Water Work)","No HS degree",NA,"Urban","Christianity","Christianity",2,"Roman Catholic",0,0,0.5,0.75
"study 2","Ghana","general population",40651,1,"Doris and Esther","English","Male",33,"Mole Dagbani",1,1,"Mom: Trader, Dad: Former Engineer (Deceased)","Customer Care Practitioner","Other graduate degree",NA,"Urban","Islam","Islam",1,"Tijaniya",1,1,0.35,0.53125
"study 2","Ghana","general population",40652,1,"Doris and Esther","English","Male",32,"Guan",1,1,"Mom: Teacher (deceased); Dad: Driver (deceased)","Procurement officer","Other graduate degree",NA,"Rural","Christianity","Christianity",2,"Catholic",1,1,0.315789473684211,0.5625
"study 2","Ghana","general population",40653,1,"Doris and Esther","English,Fante","Male",37,"Mole Dagbani",0,1,"Deceased. Mom: Trader, Dad: Farmer/Businessman","Security officer",NA,NA,"Urban","Islamic","Islamic",1,"Central Mosque",0,0,0.2,0.875
"study 2","Ghana","general population",40655,1,"Doris and Esther","Missing Data","Male",70,"Fante / Akuapim",0,0,"Mom: Trader, Dad: Sanitory Inspector","Teacher (Retired)","Some college",NA,"Urban","Christianity","Christianity",2,"Methodist Church",0,0,0.368421052631579,0.8125
"study 2","Ghana","general population",40656,1,"Doris and Esther","Missing Data","Male",34,"Fante",0,1,"Farmers","Driver","No HS degree",NA,"Urban","Christianity","Christianity",2,"Grace Baptist",0,0,0.2,0.9375
"study 2","Ghana","general population",40657,1,"Doris and Esther","Missing Data","Male",69,"Hausa",0,-1,"Farmers","Driving","No HS degree",NA,"Urban","Muslim","Muslim",2,"Islam",0,0,0.15,0.84375
"study 2","Ghana","general population",40658,1,"Doris and Esther","Missing Data","Male",26,"Nzema",1,1,"Mum and Dad: Seller (Food vendor)","Footballer","No HS degree",NA,"Rural","Christian","mdata",1,"Roman Catholic",1,1,0.2,0.78125
"study 2","Ghana","general population",40660,1,"Doris and Esther","Fante","Male",40,"Akan (Fanti)",0,1,"Mom: Businesswoman, Dad: Teacher","Wood peddler","No HS degree",NA,"Urban","Christianity","Christianity",2,"Methodist",0,0,0.7,0.53125
"study 2","Ghana","general population",40661,1,"Doris and Esther","Fante","Male",40,"Akan (Fanti)",0,1,"Mom: Kenkey seller (deceased), Dad: Driver","Driver","No HS degree",NA,"Urban","Christianity","Christianity",2,"Methodist",0,0,0.35,0.666666666666667
"study 2","Ghana","general population",40662,1,"Doris and Esther","English","Male",50,"Fante",1,1,"Mum: Trader, Dad: Military Personnel","Driver",NA,NA,"Rural","Christianity","Christianity",2,"Roman Catholic",1,1,0.3,0.78125
"study 2","Ghana","general population",40663,1,"Doris and Esther","English","Male",41,"Ewe",1,1,"Teaching (Retired Educationist)","Teaching","Other graduate degree",NA,"Rural","Christian","Christian",2,"Evangelical Presbyterian Church",1,1,0.4,0.59375
"study 2","Ghana","general population",40664,1,"Doris and Esther","Fante","Female",51,"Fante",0,1,"Mum: Homemaker, Dad: Carpenter","Trader",NA,NA,"Urban","Muslim","Muslim",2,"Suna",0,0,0.421052631578947,0.625
"study 2","Ghana","general population",40665,1,"Doris and Esther","English","Male",39,"Akan",1,1,"Mom: Farmer, Dad: Retired (Wildlife officer)","Tour guide","No HS degree",NA,"Rural","Christianity","Christianity",1,"Presbyterian Church",1,1,0.473684210526316,0.65625
"study 2","Ghana","general population",40666,1,"Doris and Esther","Missing Data","Male",41,"Ewe",1,-1,"Dad: Retired Policeman, Mum: Trader","Glass Fabricator","Vocational school",NA,"Urban","Christianity","Christianity",1,"Latter Day Saints",1,1,0.35,0.9375
"study 2","Ghana","general population",40667,1,"Doris and Esther","Fante","Male",40,"Fante / Fanti",1,0,"Mom: Trader","Businessman",NA,NA,"Rural","Christianity","Christianity",2,"Methodist Church",1,1,0.4,0.75
"study 2","Ghana","general population",40668,1,"Doris and Esther","Missing Data","Female",50,"Brong Ahafo",0,1,"Mum: Bread baker, Dad: Bread baker","Trader","No HS degree",NA,"Urban","Christianity","Christianity",2,"Methodist Church",0,0,0.473684210526316,0.9375
"study 2","Ghana","general population",40670,1,"Doris and Esther","Missing Data","Female",27,"Fante",1,1,"Trader","I don't work",NA,NA,"Urban","Christianity","Christianity",2,"Emmanuel Holy Ghost Chapel",1,1,0.15,0.71875
"study 2","Ghana","general population",40672,1,"Doris and Esther","Missing Data","Male",66,"Assin",0,1,"Civil Servant","Pensioneer",NA,NA,"Urban","Christianity","Christianity",1,"Musama Church Int.",0,0,0.05,0.5625
"study 2","Ghana","general population",40675,1,"Doris and Esther","Missing Data","Female",65,"Fante",0,1,"Diceased","Prophetes",NA,NA,"Urban","Christianity","Christianity",2,"Musama Church International",0,0,0.55,0.6875
"study 2","Ghana","general population",40676,1,"Doris and Esther","English","Female",35,"Fante",0,2,"Pensioneers","Trader","Vocational school",NA,"Urban","Christianity","Christianity",2,"Ressurection Power New Generation Church",0,0,0.15,0.65625
"study 2","Ghana","general population",40678,1,"Doris and Esther","Missing Data","Male",61,"Fante",0,0,"Trader","Electrician (Pensioneer)","No HS degree",NA,"Urban","Christianity","Christianity",2,"mdata",0,0,0.65,0.875
"study 2","Ghana","general population",40682,1,"Doris and Esther","English","Male",27,"Fante",0,0,"Engineer (Deceased)","Teaching","Vocational school",NA,"Urban","Christianity","Christianity",1,"Christ alive Chapel",0,0,0.4,0.65625
"study 2","Ghana","general population",40689,1,"Doris and Esther","Missing Data","Male",64,"Brong Ahafo",0,0,"Farmers","Driver","Some college",NA,"Rural","Christianity","Christianity",1,"Missing Data",0,0,0.15,0.9375
"study 2","Ghana","general population",40691,1,"Doris and Esther","Missing Data","Male",25,"Fante",NA,2,"Mom: Fishmonger, Dad: Fisherman","Trader","No HS degree",NA,"Urban","Christianity","Christianity",2,"Christ Healing Power Church",NA,NA,0.25,0.90625
"study 2","Ghana","general population",40692,1,"Doris and Esther","Missing Data","Female",38,"Fante",0,-1,"mdata","Trader","No HS degree",NA,"Urban","Christianity","Christianity",1,"Ressurection Power Church",0,0,0.2,0.78125
"study 2","Ghana","general population",40696,1,"Doris and Esther","English","Female",27,"Fante/Ewe",1,1,"Mum: Trader, Dad: Security","Student","Some college",NA,"Rural","Christianity","Christianity",2,"Christian Life Center",1,1,0.25,0.65625
"study 2","Ghana","general population",40701,1,"Doris and Esther","English","Male",83,"Akan (Fante)",1,1,"Deceased. Mom: Kenkey Trader, Dad: Farmer","Pensioner (Water cooks Ghana Water Superintendent)","Other","Standard 7 Certificate (Middle Seho leaving certifi... [scan cut out])","Rural","Christianity","Christianity",2,"Musama Church International",1,1,0.3,0.53125
"study 2","Ghana","general population",40704,1,"Doris and Esther","Missing Data","Male",31,"Fante",0,-1,"Mum: Trader, Dad: Driver","Secretary",NA,NA,"Urban","Christianity","Christianity",2,"Rosicrucian Fellowship",0,0,0.421052631578947,0.875
"study 2","Ghana","general population",40708,1,"Doris and Esther","Fante","Female",40,"Ewe",0,2,"Mum: Caterer, Dad: Engineer","Caterer","Some college",NA,"Urban","Christianity","Christianity",2,"Consuming Fire",0,0,0.105263157894737,0.8125
"study 2","Ghana","general population",40711,1,"Doris and Esther","English","Male",40,"Ewe",1,-1,"Mom: Farmer, Dad: Medical Assistant","Teaching","Other graduate degree",NA,"Rural","Christianity","Christianity",2,"Perez International Church",1,1,0.2,0.75
"study 2","Ghana","general population",40712,1,"Doris and Esther","Fante","Female",45,"Fante",0,1,"Mum: Trader","Zoomlion Worker","No HS degree",NA,"Urban","Christianity","Christianity",2,"Bright Morning Star Ministry",0,0,0.25,0.6875
"study 2","Ghana","general population",40717,2,"Doris and Esther","Missing Data","Male",28,"Fante",1,1,"Accountant / Trader","Mth. Sales Coordinator","Vocational school",NA,"Urban","Muslim","Mom: Christian, Dad: Muslim",1,"Muslim",1,1,0.25,0.71875
"study 2","Ghana","general population",40721,2,"Doris and Esther","Missing Data","Female",49,"Akuapim / Fante",0,1,"Trader","Teacher","Bachelors degree",NA,"Urban","Christianity","Christianity",2,"AME Zion Church",0,0,0.6,1
"study 2","Ghana","general population",40722,2,"Doris and Esther","English","Male",23,"Fante",0,1,"Father: Accountant, Mum: Trader","National Service Personnel","Bachelors degree",NA,"Rural","Christianity","Christianity",1,"Roman Catholic",0,0,0.2,0.75
"study 2","Ghana","general population",40724,2,"Doris and Esther","Missing Data","Female",40,"Fante",0,-1,"Seller","I don't work",NA,NA,"Urban","Christianity","Christianity",2,"Christ Healing Power Church",0,0,0.4,0.84375
"study 2","Ghana","general population",40726,2,"Doris and Esther","Missing Data","Male",20,"Fante",1,1,"Mum: Trader, Dad: Security","A pupil teacher",NA,NA,"Urban","Islamic Religion","Islamic religion",1,"Ahmadiyya",1,1,0.25,0.8125
"study 2","Ghana","general population",40727,2,"Doris and Esther","English","Female",35,"Ewe",1,2,"Trader","Bio-statistitian Assistant","Bachelors degree",NA,"Urban","Christianity","Christianity",2,"EP Church Evangelical/Presbyterian Church",1,1,0.2,0.78125
"study 2","Ghana","general population",40729,2,"Doris and Esther","Missing Data","Female",42,"Fante",1,0,"Diseased","Ministry of Agric. (Office Staff)","Other","Comercial school","Urban","Christianity","Christianity",1,"Grace Evangelica/Methodist",1,1,0.65,0.59375
"study 2","Ghana","general population",40731,2,"Doris and Esther","Missing Data","Male",42,"Fante",1,0,"Diseased","Driver (GHS)","Vocational school",NA,"Urban","Christian","Christian",1,"Methodist",1,1,0.4,0.8125
"study 2","Ghana","general population",40732,2,"Doris and Esther","Missing Data","Female",38,"Komoa Fante",0,-1,"Farmers","Hairdresser/Trader","No HS degree",NA,"Rural","Seventh Day Adventist Church","SDA",2,"SDA",0,0,0.4,0.8125
"study 2","Ghana","general population",40733,2,"Doris and Esther","Missing Data","Female",80,"Ewe",0,0,"My father was a Pastor","Retired Nursing Officer","Bachelors degree",NA,"Urban","Christian","Christian",1,"Presby",0,0,0.5,0.9375
"study 2","Ghana","general population",40734,2,"Doris and Esther","Missing Data","Male",26,"Fante",1,1,"Rev Pastor","mdata","Vocational school",NA,"Rural","Christianity","Christianity",1,"Methodist",1,1,0.421052631578947,0.71875
"study 2","Ghana","general population",40735,2,"Doris and Esther","Missing Data","Female",20,"Fante",0,1,"Farmers","Hairdresser","No HS degree",NA,"Rural","Christian","Christian",1,"Roman",0,0,0.05,0.75
"study 2","Ghana","general population",40736,2,"Doris and Esther","Missing Data","Male",39,"Fante",0,0,"Trader, Carpenter","Driver","No HS degree",NA,"Urban","Christian","Christian",2,"Roman Catholic",0,0,0.263157894736842,0.84375
"study 2","Ghana","general population",40737,2,"Doris and Esther","Missing Data","Female",62,"Fante and Ga",1,1,"Diceased","Secretary","Some college",NA,"Urban","Christianity","Christianity",1,"Methodist",1,1,0.7,0.84375
"study 2","Ghana","general population",40738,2,"Doris and Esther","Missing Data","Female",40,"Dagati (Northerner)",1,1,"Diseased","Trader","No HS degree",NA,"Urban","Christian","Christian",1,"Roman Catholic",1,1,0.55,0.75
"study 2","Ghana","general population",40739,2,"Doris and Esther","Missing Data","Female",36,"Akyem",0,1,"Farmers","Farmer","No HS degree",NA,"Urban","Jehovah Witness","Jehovah Witness",1,"Jehovah Witness",0,0,0,0.59375
"study 2","Ghana","general population",40740,2,"Doris and Esther","Missing Data","Female",24,"Fante",1,0,"Nurse","Hosted Attendant",NA,NA,"Urban","Christianity","Christianity",2,"AME Zion",1,1,0.210526315789474,0.75
"study 2","Ghana","general population",40741,2,"Doris and Esther","Missing Data","Female",42,"Fante",0,1,"Secretary","Teaching","Other","Teachers Training","Urban","Christianity","Christianity",2,"Methodist",0,0,0.4,0.9375
"study 2","Ghana","general population",40742,2,"Doris and Esther","Missing Data","Male",34,"Denkyira",0,1,"Diseased","Farm-assistance","No HS degree",NA,"Urban","Christianity","Christianity",2,"Methodist",0,0,0.666666666666667,0.65625
"study 2","Ghana","general population",40743,2,"Doris and Esther","Missing Data","Female",59,"Agona Abodom (Agona)",0,0,"Farmers (Diseased)","I am looking after my in law in the house (Home maker)","No HS degree",NA,"Urban","Christianity","Christianity",1,"Roman Catholic",0,0,0.1,0.875
"study 2","Ghana","general population",40744,2,"Doris and Esther","Missing Data","Female",28,"Ga",0,1,"Trader","Hairdresser",NA,NA,"Urban","Christianity","Christianity",1,"Life International",0,0,0.05,0.65625
"study 2","Ghana","general population",40746,2,"Doris and Esther","English","Male",32,"Klangara",1,1,"Mom: Homemaker, Dad: Mechanic","Teaching","Bachelors degree",NA,"Urban","Islamic","Islamic",2,"Sunnah",1,1,0.15,0.6875
"study 2","Ghana","general population",40747,2,"Doris and Esther","Missing Data","Male",25,"Fante",0,1,"Mom: Fishmonger, Dad: Driver","Driver",NA,NA,"Urban","Christianity","Christianity",1,"Roman Catholic",0,0,0.5,0.8125
"study 2","Ghana","general population",40748,2,"Doris and Esther","Missing Data","Male",30,"Akan",1,0,"Petty Trading","Teaching","Bachelors degree",NA,"Urban","Christianity","Christianity",1,"Roman Catholic",1,1,0.25,0.533333333333333
"study 2","Ghana","general population",40749,2,"Doris and Esther","Missing Data","Female",27,"Fante",0,0,"Mom: Fishmonger, Dad: Fisherman","Seamstress","No HS degree",NA,"Urban","SDA (Christianity)","Christianity",2,"SDA",0,0,0.4,0.733333333333333
"study 2","Ghana","general population",40750,2,"Doris and Esther","English","Female",29,"Fante",1,1,"Trader","Teaching","Bachelors degree",NA,"Urban","Christianity","Christianity",1,"Methodist",1,1,0.15,0.65625
"study 2","Ghana","general population",40751,2,"Doris and Esther","English","Female",58,"Akan (Fanti)",1,0,"Doesn't work","Academic staff",NA,NA,"Urban","Christianity","Christianity",2,"Methodist",1,1,0.4,0.59375
"study 2","Ghana","general population",40752,2,"Doris and Esther","English","Male",26,"Akan (Ashanti)",1,0,"Business Fellows (Business man & woman)","Dentist","Other graduate degree",NA,"Urban","Christianity","Christians",1,"Catholic",1,1,0.2,0.566666666666667
"study 2","Ghana","general population",40753,2,"Doris and Esther","English","Male",24,"Dagomba",1,2,"Mom: Trader, Dad: Trader","Student","Bachelors degree",NA,"Rural","Islamic","Islamic",2,"Ahlusunah",1,1,0.15,0.59375
"study 2","Ghana","general population",40754,2,"Doris and Esther","Missing Data","Female",39,"Ewe",0,-1,"Farmers","Farmer","No HS degree",NA,"Rural","Christianity","Christianity",1,"Christ Division Healing Church (African Faith)",0,0,0.526315789473684,0.75
"study 2","Ghana","general population",40755,2,"Doris and Esther","Missing Data","Male",20,"Fante",1,0,"Mom: Trader, Dad: Driver","Student","Bachelors degree",NA,"Urban","Christianity","Christianity",2,"Methodist",1,1,0.25,0.75
"study 2","Ghana","general population",40756,2,"Doris and Esther","Missing Data","Female",37,"Denkyira",0,1,"Mom: Trader, Dad: City Guard","Trader","No HS degree",NA,"Rural","Muslim","Mom: Christian, Dad: Muslim",2,"Ahamadiya",0,0,0.2,0.6875
"study 2","Ghana","general population",40757,2,"Doris and Esther","Missing Data","Female",38,"Ewe",1,1,"Trader","Trader","No HS degree",NA,"Urban","Christianity","Christianity",2,"Presbyterian Church",1,1,0.4,0.9375
"study 2","Ghana","general population",40758,2,"Doris and Esther","Missing Data","Female",58,"Fante/Nigerian",0,-1,"Mom: Trader, Dad: Electrician","Trader",NA,NA,"Urban","Christianity","Christianity",2,"Methodist",0,0,0.1,0.59375
"study 2","Ghana","general population",40759,2,"Doris and Esther","Missing Data","Female",37,"Akan",0,2,"Mom: Fruit seller, Dad: Carpentry","Business (Fruits seller)","No HS degree",NA,"Urban","Christianity","Christianity",2,"Calvary Methodist",0,0,0.7,1
"study 2","Ghana","general population",40760,2,"Doris and Esther","English","Female",28,"Akan",1,0,"Mom: Homemaker, Dad: Transmitter","Civil Servant","Other graduate degree",NA,"Urban","Christianity","Christianity",1,"Roman Catholic",1,1,0.05,0.53125
"study 2","Ghana","general population",40761,2,"Doris and Esther","English","Female",20,"Akan",1,2,"Mom: Teacher, Dad: Driver","Student","Bachelors degree",NA,"Urban","Christianity","Christianity",2,"Baptist Church",1,1,0.25,0.59375
"study 2","Ghana","general population",40762,2,"Doris and Esther","Missing Data","Female",42,"Fante",0,1,"Mom: Trader, Dad: Security","Seller","No HS degree",NA,"Urban","Christianity","Christianity",2,"Methodist",0,0,0.4,0.875
"study 2","Ghana","general population",40763,2,"Doris and Esther","English","Female",50,"Akan",1,1,"Mom: Trader, Dad: Goldsmith","Civil Servant","Vocational school",NA,"Urban","Christianity","Christianity",2,"Roman Catholic",1,1,0.25,0.533333333333333
"study 2","Ghana","general population",40764,2,"Doris and Esther","Missing Data","Female",50,"Fante",0,-1,"Mom: Trader, Dad: Soldier","Radio Operator (Municipal)","Some college",NA,"Urban","Christianity","Christianity",2,"Church of Christ",0,0,0.15,0.75
"study 2","Ghana","general population",40765,2,"Doris and Esther","Missing Data","Female",42,"Fante",1,1,"Mom: Trader, Dad: Doctor","Rural Bank (Mobile banker)",NA,NA,"Urban","Christianity","Christianity",1,"Anglican Church",1,1,0.05,0.4375
"study 2","Ghana","general population",40766,2,"Doris and Esther","Missing Data","Female",26,"Kwahu",0,1,"Mom: Trader, Dad: Farmer","Teaching",NA,NA,"Urban","Christianity","Christianity",2,"Presbyterian Church",0,0,0.45,0.875
"study 2","Ghana","general population",40767,2,"Doris and Esther","Missing Data","Female",26,"Wala",0,0,"Traders","Student","Bachelors degree",NA,"Urban","Islamic","Islamic",2,"Suna",0,0,0.45,0.875
