"study","country","subject_id","subject_gender","subject_age","subject_ethnicity","subject_afford","subject_ses","subject_occupation_parent","subject_urban_rural","subject_religion","subject_religiosity","subject_church","subject_tongues","spev_score","dse_score","pv_score","por_score","abs_score","hall_score","para_score","cog_score","ctl_score"
"Study 4","Ghana",41495,"male",22,"Akan",1,1,"Farmer","rural","Christianity",1,"Church of Christ","0",2.3,2.78571428571429,1.42857142857143,0.666666666666667,0.558823529411765,1.5,0.428571428571429,0.277777777777778,-0.333333333333333
"Study 4","Ghana",41496,"female",25,"Dagari",0,1,"mdata","rural","Christianity",2,"Pentecost","1",1.86363636363636,4.35714285714286,1.21428571428571,1.375,0.735294117647059,1,0.428571428571429,0.833333333333333,1.66666666666667
"Study 4","Ghana",41497,"female",24,"Hausa",0,0,"Trading","rural","Islam",0,"Mosque",".",2,4.14285714285714,0.571428571428571,0.8125,0.705882352941177,0.5,0.571428571428571,0.277777777777778,0.333333333333333
"Study 4","Ghana",41498,"female",22,"Ga",1,0,"Accountant / Legal Officer","urban","Christianity",2,"Redeemed Outreach Ministry","1",1.85,3.92857142857143,1.71428571428571,1.375,0.441176470588235,1.16666666666667,0.285714285714286,0,0.75
"Study 4","Ghana",41499,"female",20,"Akan",1,0,"Trader","urban","Christianity",1,"Deeper Christian Life Ministry","1",1.15,3.71428571428571,1.28571428571429,1.3125,0.558823529411765,0.5,0.428571428571429,-0.611111111111111,-0.0833333333333333
"Study 4","Ghana",41500,"female",21,"Fante",0,1,"Trader","urban","Christianity",2,"Church of Conquerors","1",1.84615384615385,4.14285714285714,1.92857142857143,1.46666666666667,1,1.33333333333333,0.857142857142857,0.333333333333333,0.75
"Study 4","Ghana",41501,"female",20,"Fante",0,0,"businesswoman","urban","Christianity",1,"Church of Pentecost","1",1.52631578947368,3.78571428571429,1.35714285714286,0.625,0.705882352941177,1,0.571428571428571,0.222222222222222,1
"Study 4","Ghana",41502,"female",20,"Northner",0,0,"Miner, Trader","rural","Christianity",1,"IOE Outreach Embassy","1",2.35294117647059,3.78571428571429,2.71428571428571,1.375,0.617647058823529,2,0.333333333333333,0,0.833333333333333
"Study 4","Ghana",41503,"female",21,"Akan",1,1,"Trader","urban","Christianity",1,"Church of Christ","0",1.55555555555556,2.85714285714286,0.785714285714286,0.75,0.454545454545455,0.833333333333333,0.428571428571429,0.111111111111111,1.25
"Study 4","Ghana",41504,"female",18,"Ewe",0,0,"Teaching","urban","Christianity",1,"Global Evangelical Church","1",1.10526315789474,2.5,2.5,1.625,0.818181818181818,0.833333333333333,0.857142857142857,0.111111111111111,1
"Study 4","Ghana",41505,"female",19,"Ga",0,1,"Caterer","urban","Christian religion",2,"Pentefel","1",2.14285714285714,3.5,1.28571428571429,1.3125,0.558823529411765,1.33333333333333,0.285714285714286,0,0.75
"Study 4","Ghana",41506,"female",19,"Akan",1,1,"Nursing","rural",".",2,"New Life Baptise Church","1",0.75,3,0.857142857142857,1.4375,0.823529411764706,1.83333333333333,0.571428571428571,0.555555555555556,0.5
"Study 4","Ghana",41507,"female",19,"Fante",0,0,"Teacher / Trader","urban","Christianity",1,"Methodist","1",2.15,3.85714285714286,1.71428571428571,1.5625,0.588235294117647,1,0.714285714285714,-1.27777777777778,1.08333333333333
"Study 4","Ghana",41508,"female",25,"Ga",1,1,"Trade","rural","Christian",1,"Methodist","1",1.31818181818182,3.57142857142857,1.85714285714286,1.125,0.727272727272727,1.33333333333333,0.428571428571429,-0.277777777777778,1
"Study 4","Ghana",41509,"female",18,"Fante/Akan",0,1,"Headmaster","urban","Christianity",1,"Unique Christian Tabernacle",".",0.947368421052632,3.35714285714286,1.42857142857143,0.625,0.617647058823529,1.5,0.428571428571429,0.111111111111111,0.5
"Study 4","Ghana",41510,"female",20,"Akan",1,0,"Farmer","urban","Christianity",1,"The Lord is My Shepherd Church","0",1.27272727272727,4.57142857142857,2.14285714285714,1.5625,0.676470588235294,1.5,1,0.444444444444444,1.08333333333333
"Study 4","Ghana",41511,"female",20,"Ewe",0,0,"Driver","urban","Christianity",2,"First Love","1",0.619047619047619,3.71428571428571,0.571428571428571,1.5625,0.696969696969697,0.833333333333333,1,0.833333333333333,0.416666666666667
"Study 4","Ghana",41512,"female",18,"Ghanaian - Wassa",1,1,"Trader","rural","Christianity",2,"Methodist","1",2.28571428571429,3.28571428571429,2.5,1.375,0.529411764705882,0.5,0.571428571428571,-1.05555555555556,0.0833333333333333
"Study 4","Ghana",41513,"female",19,"Ashanti",0,0,"Pastor","urban","Christianity",2,"Zion Prayer and Outreach","1",1.40909090909091,3.92857142857143,0.785714285714286,1.4375,0.484848484848485,2.33333333333333,1,1.27777777777778,0.416666666666667
"Study 4","Ghana",41514,"female",21,"Akan",1,0,"Trading","rural","Islam",1,"Mosque","0",0.75,3.35714285714286,1.28571428571429,0.875,0.647058823529412,1.33333333333333,0.571428571428571,0.222222222222222,0
"Study 4","Ghana",41515,"female",18,"Akuapim",0,0,"Trader","rural","Christianity",2,"Methodist","1",1.22727272727273,3.71428571428571,1.92857142857143,1.375,0.735294117647059,0.5,0.428571428571429,0.222222222222222,1.5
"Study 4","Ghana",41516,"female",20,"Ashanti",0,0,"Trader","urban","Christianity",2,"Pentecost","1",2.55,4,1.14285714285714,1.5,0.676470588235294,0.166666666666667,0,0.5,1.16666666666667
"Study 4","Ghana",41517,"female",20,"Ghanaian - Ga",0,1,"mdata",NA,"Christianity",2,"International Central Gospel Church","1",2.65,4.5,1.71428571428571,1.125,0.588235294117647,1.33333333333333,0.428571428571429,0,0.166666666666667
"Study 4","Ghana",41518,"female",21,"African Studies",1,2,"Business woman","urban","Christianity",2,"Catholic","1",2.27272727272727,2.92857142857143,2.21428571428571,1.1875,0.696969696969697,2.16666666666667,0.571428571428571,-0.333333333333333,0
"Study 4","Ghana",41519,"female",21,"Fante",0,1,"Farmer","urban","Christianity",1,"Throne of God's Grace","1",2.41176470588235,3.78571428571429,1.71428571428571,0.9375,0.588235294117647,1,0.571428571428571,0.0555555555555556,0.0833333333333333
"Study 4","Ghana",41520,"female",24,"Ewe",1,0,"Freight forward/trade","urban","Christianity",2,"Presby","1",1.17647058823529,4,0.0714285714285714,0.3125,0.176470588235294,0.5,0.285714285714286,-0.277777777777778,1.41666666666667
"Study 4","Ghana",41521,"male",21,"Ga",1,0,"Chemist","urban","Christian",1,"Methodist","1",1.07142857142857,3.35714285714286,2.5,1.25,0.588235294117647,0.5,0.857142857142857,-0.0555555555555556,-0.5
"Study 4","Ghana",41522,"male",24,"Hausa",1,0,"Trader","rural","Islam",1,".",".",1.52380952380952,4.42857142857143,1.07142857142857,0.875,0.741935483870968,0.833333333333333,0.714285714285714,0.166666666666667,-0.25
"Study 4","Ghana",41523,"male",28,"Tongu",0,0,"Farmers","rural","Christianity",0,"LCI","1",NA,1.5,1.35714285714286,1,0.558823529411765,0.5,0.428571428571429,0,0.25
"Study 4","Ghana",41524,"male",20,"Ewe",0,0,"Bading?","rural","Christian",1,"E.P. Cetureit?","0",0.5,3.57142857142857,1.78571428571429,1.13333333333333,0.484848484848485,2,0.285714285714286,-0.166666666666667,-0.833333333333333
"Study 4","Ghana",41525,"male",22,"Akan",0,2,"Upholstery / Trader","urban","Christianity",1,"Church of Pentecost","1",1.57894736842105,4.35714285714286,1.07142857142857,1.3125,0.911764705882353,0.5,0.714285714285714,0.166666666666667,0.416666666666667
"Study 4","Ghana",41526,"male",28,"Talensi",0,2,"Traders","rural","Christian",1,"Catholic","1",0.5,4,1.78571428571429,0.75,1,2,0,-0.0555555555555556,2.25
"Study 4","Ghana",41527,"male",24,"Akan",0,2,"Banker","urban","Christianity",2,"Lighthouse Chapel International (LCI)","1",1.33333333333333,3.78571428571429,0.785714285714286,0.6875,0.5,0.166666666666667,0.428571428571429,-0.388888888888889,2.83333333333333
"Study 4","Ghana",41528,"male",24,"Akan",1,-2,"Farmer","rural","Christian",2,"Church of Pentecost","1",1.68421052631579,4.35714285714286,2.28571428571429,1.6875,0.617647058823529,0.166666666666667,0.142857142857143,0.444444444444444,0.333333333333333
"Study 4","Ghana",41529,"male",20,"Ewe",1,0,"Trader","rural","Christianity",1,"Methodist","1",1.45454545454545,3.71428571428571,1.92857142857143,1.9375,0.705882352941177,1.16666666666667,1,1,1.25
"Study 4","Ghana",41530,"male",19,"Ashanti",0,0,"Tiler","urban","Christianity",2,"Redeemed Church of God","1",0.294117647058824,2.85714285714286,0.642857142857143,0.3125,0.617647058823529,1.5,0.571428571428571,-0.166666666666667,0.916666666666667
"Study 4","Ghana",41531,"male",22,"Akan",0,0,"Trader","rural","Christianity",1,"Pentecost","1",1.85714285714286,3.85714285714286,1.71428571428571,0.8125,0.705882352941177,1.6,0.285714285714286,0.0588235294117647,-0.583333333333333
"Study 4","Ghana",41532,"male",21,"Fante",0,1,"Musician","urban","Christianity",0,"Anglican","1",0.681818181818182,3.78571428571429,0.857142857142857,1.375,0.529411764705882,0.833333333333333,0,-1.27777777777778,1.83333333333333
"Study 4","Ghana",41533,"male",23,"Akan",0,1,"Trader","urban","Christian",1,"Captain of Salvation","1",1.5,3.71428571428571,2.21428571428571,1.5625,0.735294117647059,1,0.428571428571429,-0.111111111111111,1.08333333333333
"Study 4","Ghana",41534,"male",22,"Akan",1,-1,"Trader","urban","Christian",0,"S.D.A.",".",1.04545454545455,3.57142857142857,2,1.1875,0.4375,0.833333333333333,0.428571428571429,0.444444444444444,0.416666666666667
"Study 4","Ghana",41535,"male",22,"Ga",0,2,"Trading","rural",".",1,"SDA","0",1.10526315789474,3.57142857142857,0.928571428571429,1.3125,0.71875,0.5,0.285714285714286,0.166666666666667,1.16666666666667
"Study 4","Ghana",41536,"male",22,"Ewe",0,1,"Civil servant","rural","Christian",1,"Catholic","1",3,4,1.28571428571429,1.1875,0.606060606060606,1.16666666666667,0.285714285714286,-0.611111111111111,0.833333333333333
"Study 4","Ghana",41537,"male",20,"Nzema",0,0,"Trader","rural","Christianity",-1,"Seventh Day Adventist","1",0.238095238095238,2.28571428571429,0.714285714285714,0.625,0.382352941176471,0.666666666666667,0.428571428571429,0,0.75
"Study 4","Ghana",41538,"male",21,"Fante",0,0,"Nurse","urban","Christian",2,"First Love Church","1",2.59090909090909,4.85714285714286,2.07142857142857,1.875,0.794117647058823,1.16666666666667,0.285714285714286,-0.333333333333333,1.66666666666667
"Study 4","Ghana",41539,"male",20,"Yoruba",0,2,"Diplomat","urban","Christianity",2,"Redeemed Christian Church of God","1",1.45454545454545,3.78571428571429,2.57142857142857,1.5,0.794117647058823,1.83333333333333,0.714285714285714,1.22222222222222,1.91666666666667
"Study 4","Ghana",41540,"male",27,"Ewe",0,2,"Trader/Lecturer","urban","Catholic",2,"Our Lady Seat of Wisdom","1",1.94736842105263,4,1.85714285714286,1.625,0.588235294117647,0.833333333333333,0.428571428571429,0.833333333333333,2.16666666666667
"Study 4","Ghana",41541,"male",25,"FraFra",1,2,"unemployed","urban","Christianity",2,"Catholic","1",0.636363636363636,3.5,1.28571428571429,0,0.529411764705882,1,0.142857142857143,0.888888888888889,1.33333333333333
"Study 4","Ghana",41542,"male",28,"Ewe",0,0,"Trading","rural","Christianity",2,"A.M.E. Zion Church","1",2.72727272727273,3.5,2.57142857142857,1.2,0.545454545454545,2.16666666666667,0.285714285714286,-0.222222222222222,-0.25
"Study 4","Ghana",41543,"male",23,"Akan",0,1,"Farming","rural","Christianity",2,"The Church of Pentecost","1",3.22222222222222,5,1.85714285714286,1.375,0.823529411764706,1.33333333333333,0.714285714285714,0.944444444444444,0.583333333333333
"Study 4","Ghana",41544,"male",32,"Ghanaian - Fante",0,1,"Trading","rural","Christianity",1,"New Life Baptist Church","1",2.38095238095238,2.07142857142857,1.78571428571429,0.6875,0.545454545454545,1.16666666666667,0.714285714285714,0.0555555555555556,-0.416666666666667
"Study 4","Ghana",41545,"male",29,"Ashanti",0,1,"Teacher","urban","Christian",1,"Pentecost","1",3.13636363636364,5,2.07142857142857,1.4375,0.424242424242424,1,0.285714285714286,-0.111111111111111,0.5
"Study 4","Ghana",41546,"male",20,"Ewe",0,0,"Teaching","rural","Christianity",0,"Baptist Church","1",2.36363636363636,4,1.21428571428571,0.5625,1,0.833333333333333,1,-0.0555555555555556,0.166666666666667
"Study 4","Ghana",41547,"female",20,"Fante",1,1,".","rural","Christianity",1,"Church of Pentecost","1",1.9,3.35714285714286,2,1.4375,0.411764705882353,1,1,0.222222222222222,1.83333333333333
"Study 4","Ghana",41548,"female",21,"Ashanti",0,1,"Farmer","urban","Christian",-1,"Roman Catholic Church","1",1.13636363636364,3.28571428571429,1.64285714285714,1.26666666666667,0.5,1,0.714285714285714,0,0.333333333333333
"Study 4","Ghana",41549,"female",22,"Ewe",1,0,"Nurse","rural","Christianity",0,"Assemblies of God","0",1.92857142857143,3.21428571428571,0.714285714285714,1.0625,0.53125,0.166666666666667,0.714285714285714,-0.0555555555555556,0.75
"Study 4","Ghana",41550,"female",20,"Ewe (Mother) / Caribbean (Father)",0,0,"Unemployed / Nurse caregiver","urban","Catholicism / Christianism",1,"Church (Catholic)","1",0.285714285714286,2.21428571428571,0.857142857142857,0.5,0.647058823529412,1,0.571428571428571,0.555555555555556,2.16666666666667
"Study 4","Ghana",41551,"female",18,"Ivorian",0,0,"Accountant","urban","Catholic",-1,"Catholic","0",0.4375,1.78571428571429,2.92857142857143,1.6875,0.823529411764706,1.83333333333333,0.428571428571429,0.111111111111111,-0.416666666666667
"Study 4","Ghana",41552,"female",19,"South-South (Nigeria)",0,1,"Student","urban","Christianity",0,"Abundant Life Evangel Mission Nigeria","1",1.40909090909091,3.28571428571429,3,1.125,0.617647058823529,1,0.857142857142857,0.0555555555555556,-0.0833333333333333
"Study 4","Ghana",41553,"female",18,"Ewe",1,0,"Bakery","rural","Christianity",0,"Pentecost","1",3,3.28571428571429,1.14285714285714,1.0625,0.735294117647059,0.833333333333333,0.285714285714286,-0.0555555555555556,-0.333333333333333
"Study 4","Ghana",41554,"female",21,"Nzema",0,2,"Trader","urban","Christianity",2,"PENTHEL","1",0,3.30769230769231,1.35714285714286,0.875,0.617647058823529,0.833333333333333,0.428571428571429,0.111111111111111,1.5
"Study 4","Ghana",41555,"female",21,"Kussal",1,0,"Student","rural","Islam",1,"Mosque",".",1.71428571428571,1.92857142857143,1.71428571428571,0.4375,0.5625,1.66666666666667,0.333333333333333,0,0.0833333333333333
"Study 4","Ghana",41556,"female",19,"Fante",0,0,"Seamstress","urban","Christianity",1,"Harvest Chapel","1",1.13636363636364,2.71428571428571,0.857142857142857,1.25,0.352941176470588,1.16666666666667,0,-1.55555555555556,0.916666666666667
"Study 4","Ghana",41557,"female",20,"Fante",0,2,"Clergyman","urban","Christianity",1,"Resurrection Power and Living Bread Min. Int.","1",2.15789473684211,5,1.07142857142857,1.375,0.882352941176471,2.83333333333333,0.857142857142857,0.166666666666667,2.08333333333333
"Study 4","Ghana",41558,"female",19,"Fante",1,1,"Trader / Accounts officer","urban","Islam",1,"Mosque",".",1.35294117647059,4.28571428571429,1.71428571428571,1.0625,0.794117647058823,0.833333333333333,0.571428571428571,0.444444444444444,0.5
"Study 4","Ghana",41559,"female",24,"Ghanian - Frafra",1,0,"Farmers","rural","Christian",NA,"Catholic","1",1.3,1.35714285714286,1,1.125,0.424242424242424,1,0.142857142857143,-0.555555555555556,-0.833333333333333
"Study 4","Ghana",41560,"female",19,"Waala",1,0,"Lab technician","urban","Islam",0,"Mosque",".",0.8,4.35714285714286,0.357142857142857,0.3125,0.636363636363636,0.666666666666667,0.428571428571429,-0.333333333333333,0.333333333333333
"Study 4","Ghana",41561,"female",22,"Ashanti",1,1,"Teacher","rural","Christianity",1,"Divine Love Ministry International","1",1.84210526315789,3.78571428571429,0.428571428571429,0.5,0.852941176470588,1.33333333333333,0.571428571428571,0.333333333333333,0.416666666666667
"Study 4","Ghana",41562,"female",27,"Fante",0,1,".","rural","Christianity",2,"The Redeemed Christian Church of God","1",2.38095238095238,4.92857142857143,1.21428571428571,1.4,0.558823529411765,0.8,0.571428571428571,0.0588235294117647,1.63636363636364
"Study 4","Ghana",41563,"female",19,"Ewe",0,1,"Trader","urban","Christian",1,"Redeemed Christian Fellowship","1",1.95454545454545,4.07142857142857,1.14285714285714,0.875,0.705882352941177,0.5,0.428571428571429,0.166666666666667,0.25
"Study 4","Ghana",41564,"female",23,"Kusasi",0,2,"Business man and women","rural","Christianity",2,"Redeem Christian Church of God","1",2.3,4,1.21428571428571,1.375,0.529411764705882,1,0.714285714285714,0.666666666666667,-0.363636363636364
"Study 4","Ghana",41565,"female",23,"Ashanti",0,1,"Trader","urban","Christian",0,"Methodist","1",2.31818181818182,3.35714285714286,1.57142857142857,1.1875,0.970588235294118,1,0.285714285714286,0.111111111111111,-0.166666666666667
"Study 4","Ghana",41566,"female",22,"Ashanti",1,-1,"Nurse","urban",".",1,"Pentecost","1",0.583333333333333,3,0.357142857142857,1.1875,0.612903225806452,0.833333333333333,0.142857142857143,-0.166666666666667,-0.333333333333333
"Study 4","Ghana",41567,"female",20,"Ashanti",0,1,"Secretary","urban","Christianity",1,"Zoe temple","1",0.6875,2.71428571428571,1.21428571428571,1,0.176470588235294,0.5,0.571428571428571,-0.388888888888889,0.833333333333333
"Study 4","Ghana",41568,"male",26,"Fante",0,0,"Trading","rural","Christianity",1,"Methodist","1",2.54545454545455,3.28571428571429,1.14285714285714,1.375,0.676470588235294,1.16666666666667,0.714285714285714,0.0555555555555556,-0.416666666666667
"Study 4","Ghana",41569,"male",25,"Dagaati",0,1,"civil servant","urban","Christianity",1,"Our lady seat of Wisdom (catholic)","1",1.375,3.64285714285714,1.5,1.125,0.454545454545455,0.833333333333333,0.428571428571429,0.666666666666667,1.66666666666667
"Study 4","Ghana",41570,"female",22,"Ga",1,0,"Trader","urban","Christianianity",1,"Pensa (Pentecost)","1",1.40909090909091,3.85714285714286,2.14285714285714,1.1875,0.6875,0.833333333333333,0,-0.222222222222222,0.5
"Study 4","Ghana",41571,"female",18,"Ewe",1,0,"Trader","urban","Christian",2,"Jehovah's Witness","0",0.0454545454545455,4.64285714285714,1.57142857142857,0.9375,0.515151515151515,0.666666666666667,0.142857142857143,-0.388888888888889,1.33333333333333
"Study 4","Thailand",31195,"female",19,"Thai",0,0,"self-employed","rural","Buddhism",0,"Wat Umong",".",0.454545454545455,2.78571428571429,1.28571428571429,1,0.882352941176471,1,0.285714285714286,-0.333333333333333,-2.16666666666667
"Study 4","Thailand",31196,"female",19,"Thai",0,0,"Farmer","rural","Buddhism",0,"Wat Sannameng",".",1.21052631578947,2.28571428571429,0.714285714285714,0.733333333333333,0.647058823529412,1,0.428571428571429,0.333333333333333,-1.66666666666667
"Study 4","Thailand",31197,"female",19,"Thai",0,0,"Seller","urban","Buddhism",-2,"Neighborhood temple (Wat Ku Dang)",".",0.136363636363636,1.78571428571429,0.428571428571429,0.6,0.382352941176471,1,0.428571428571429,-0.166666666666667,-1.16666666666667
"Study 4","Thailand",31198,"female",20,"Thai",0,0,"Seller","urban","Buddhism",0,"No regular temple, I can go to any temple",".",0.368421052631579,2.21428571428571,0.428571428571429,0.266666666666667,0.411764705882353,0.666666666666667,0.428571428571429,-0.166666666666667,-1.25
"Study 4","Thailand",31199,"male",19,"Thai",0,1,"government officer","rural","Christianity",2,"Thai Chang Phuak Church","1",1.45454545454545,3.78571428571429,1.5,1,0.558823529411765,1.16666666666667,0.571428571428571,0.277777777777778,-0.916666666666667
"Study 4","Thailand",31200,"female",19,"Thai",0,0,"mdata","rural","Islam/Mohammedanism",-1,".",".",0.136363636363636,2.64285714285714,0.357142857142857,0.2,0.5,0,0.142857142857143,0,-1.5
"Study 4","Thailand",31201,"female",19,"Thai",1,0,"Merchant","rural","Buddhism",1,"Wat Don Kapi",".",1,2.78571428571429,1.21428571428571,1.06666666666667,0.764705882352941,1,1,0.277777777777778,-0.333333333333333
"Study 4","Thailand",31202,"female",20,"Thai",1,0,"Farmer","rural","Islam",2,".",".",1.18181818181818,2.14285714285714,0.642857142857143,0.6,0.529411764705882,1.33333333333333,0.285714285714286,-0.444444444444444,-1.25
"Study 4","Thailand",31203,"female",20,"Thai",0,1,"Soldier, Seller","urban","Buddhism",NA,"Wat Sop Pong Tai",".",1.04761904761905,2.78571428571429,0.571428571428571,0.6,0.558823529411765,1.16666666666667,0.428571428571429,-0.111111111111111,-1.66666666666667
"Study 4","Thailand",31204,"female",19,"Thai",1,-1,"Contract worker","rural","Buddhism",0,".",".",1.23809523809524,2.57142857142857,0.857142857142857,1.13333333333333,0.617647058823529,1.33333333333333,0.714285714285714,0.333333333333333,-1.08333333333333
"Study 4","Thailand",31205,"female",19,"Thai",1,-1,"farmer","rural","Christianity",1,"Chiang Mai Church of Vision","0",0.909090909090909,3.64285714285714,0.428571428571429,0.733333333333333,0.588235294117647,0.5,0.714285714285714,-0.444444444444444,-1.5
"Study 4","Thailand",31206,"male",21,"Thai",0,1,"contract worker","rural","Buddhism",0,"Wat Phang Yoi",".",0.909090909090909,2.64285714285714,0.0714285714285714,0.2,0.676470588235294,1,0.714285714285714,0.0555555555555556,-1.75
"Study 4","Thailand",31207,"female",20,"Thai",0,0,"government officer","rural","Buddhism",1,"Wat Thung Nao, Wat Chiang Chom",".",0.578947368421053,2.5,0.642857142857143,0.533333333333333,0.617647058823529,1,0.714285714285714,0.333333333333333,-1.08333333333333
"Study 4","Thailand",31208,"female",20,"Thai",0,0,"Company employee","urban","Buddhism",0,"Neighborhood temple",".",0.409090909090909,1.5,1.21428571428571,1,0.735294117647059,1.33333333333333,0.714285714285714,0.444444444444444,-1.08333333333333
"Study 4","Thailand",31209,"female",19,"Thai",0,-1,"contract worker","urban","Buddhism",0,"Wat Rong Wua",".",0.5,2.71428571428571,1.07142857142857,0.333333333333333,0.411764705882353,0.5,0.285714285714286,-0.222222222222222,-1.58333333333333
"Study 4","Thailand",31210,"female",19,"Thai",0,0,"seller","rural","Buddhism",0,".",".",1.3,2.14285714285714,0.642857142857143,0.266666666666667,0.382352941176471,0.5,0.428571428571429,-0.333333333333333,-1.41666666666667
"Study 4","Thailand",31211,"male",19,"Thai",0,0,"Contract worker","urban","Buddhism",0,"Wat Mahawan",".",0.736842105263158,1.57142857142857,0.785714285714286,0.266666666666667,0.529411764705882,1.5,0.285714285714286,-0.0555555555555556,-1.41666666666667
"Study 4","Thailand",31212,"female",19,"Thai",0,0,"Government officer","urban","Christianity",1,"Not quite go to church","0",0.772727272727273,4.07142857142857,2.5,1.73333333333333,0.411764705882353,0.333333333333333,0.714285714285714,0.111111111111111,-2.58333333333333
"Study 4","Thailand",31213,"female",21,"Thai",0,0,"Contract worker","urban","Buddhism",1,"Wat Doi Saket",".",0.666666666666667,1.57142857142857,0.714285714285714,0.2,0.264705882352941,1.83333333333333,0.142857142857143,0.166666666666667,-1.58333333333333
"Study 4","Thailand",31214,"female",19,"Thai",0,0,"self-employed","urban","Christianity",1,"Klao Phrae Christendom","1",1.45,3.07142857142857,1.64285714285714,1.13333333333333,0.705882352941177,1,0.285714285714286,0.444444444444444,-0.916666666666667
"Study 4","Thailand",31215,"female",19,"Thai",1,-1,"Contract worker","rural","Buddhism",0,"Neighborhood temple","1",0.5,1.78571428571429,0.214285714285714,1,0.617647058823529,0.833333333333333,0.571428571428571,-0.277777777777778,-0.166666666666667
"Study 4","Thailand",31216,"female",20,"Thai",0,0,"Government officer","rural","Buddhism",0,"Wat Phra That Chae Haeng & Wat Bampen Bun",".",0.65,1.57142857142857,0.571428571428571,0.466666666666667,0.588235294117647,0.666666666666667,0.285714285714286,-0.388888888888889,-1.16666666666667
"Study 4","Thailand",31217,"female",20,"Thai",0,0,"Contract worker","rural","Buddhism",0,"Village temple, Wat Lanka Ban Mai",".",0.727272727272727,2.92857142857143,0.571428571428571,0.866666666666667,0.647058823529412,1.33333333333333,0.428571428571429,-0.777777777777778,-1.5
"Study 4","Thailand",31218,"female",20,"Thai",1,0,"contract worker","rural","Buddhism",1,"Wat Nang Koeng",".",1.27777777777778,3,1,1,0.676470588235294,1.16666666666667,0.714285714285714,0.111111111111111,-0.75
"Study 4","Thailand",31219,"female",19,"Thai",1,0,"Self-employed","urban","Buddhism",0,"Wat Nam Lom",".",0.285714285714286,3,1.5,0.733333333333333,0.735294117647059,0.166666666666667,0.714285714285714,0,-1.25
"Study 4","Thailand",31220,"female",19,"Thai",1,0,"Contract worker","rural","Buddhism",0,"Wat Pa Si Siat",".",0,1.35714285714286,0.928571428571429,0.466666666666667,0.545454545454545,0.333333333333333,0.428571428571429,0,-0.666666666666667
"Study 4","Thailand",31221,"male",20,"Thai",0,2,"seller","rural","Islam",1,".",".",1.18181818181818,4.57142857142857,0.357142857142857,0.466666666666667,0.647058823529412,1.33333333333333,0.285714285714286,-0.0555555555555556,-1.08333333333333
"Study 4","Thailand",31222,"female",19,"Thai",0,1,"Businessman","urban","Buddhism",0,"Wat Phra Singh",".",0.777777777777778,2.07142857142857,1.85714285714286,0.666666666666667,0.5,1,0.428571428571429,-0.444444444444444,-0.666666666666667
"Study 4","Thailand",31223,"male",20,"Thai",1,0,"Mechanician","rural","Buddhism",0,"Neighborhood temple","0",0.05,0.5,0.428571428571429,0.0666666666666667,0.411764705882353,0.833333333333333,0,-0.111111111111111,-0.0833333333333333
"Study 4","Thailand",31224,"male",20,"Thai",0,0,"Undergrad?","rural","Buddhism",0,"Go to temple",".",0.470588235294118,1.71428571428571,1.21428571428571,0.4,0.588235294117647,0.666666666666667,0.428571428571429,-0.111111111111111,-1.83333333333333
"Study 4","Thailand",31225,NA,21,"Thai",0,-1,"Farmer","rural","Buddhism",1,"Wat Doi Kham","0",0.631578947368421,2,0.714285714285714,0.533333333333333,0.441176470588235,0.5,0.142857142857143,-0.388888888888889,-0.75
"Study 4","Thailand",31226,"male",21,"Thai",0,0,"contract worker/farmer","rural","Buddhism",1,"Wat Non Khong",".",0.1,1.85714285714286,0.785714285714286,0.333333333333333,0.676470588235294,0.166666666666667,0.285714285714286,-0.0555555555555556,-1.5
"Study 4","Thailand",31227,"male",21,"Thai",1,-1,"Farmer","rural","Buddhist",0,"Neighborhood temple",".",0.545454545454545,2,0.357142857142857,0.333333333333333,0.5,0.166666666666667,0.428571428571429,-0.277777777777778,-1.83333333333333
"Study 4","Thailand",31228,"female",21,"Thai",0,0,"Farmer","rural","Buddhism",2,"Wat Phra That Doi Suthep",".",1.54545454545455,2.92857142857143,2.71428571428571,1.46666666666667,0.794117647058823,0.666666666666667,0.857142857142857,0.166666666666667,-1.41666666666667
"Study 4","Thailand",31229,"male",20,"Thai",1,0,"government officer","rural","Buddhism",0,"Wat Phra That Jomthong",".",0.380952380952381,2.14285714285714,0.785714285714286,0.133333333333333,0.705882352941177,0.833333333333333,0.285714285714286,-0.277777777777778,-0.5
"Study 4","Thailand",31230,"female",21,"Thai",1,-1,"contract worker","rural","Buddhism",0,"Wat Ched Yot",".",2.04545454545455,3.42857142857143,1.07142857142857,0.666666666666667,0.823529411764706,1.66666666666667,0.714285714285714,0.166666666666667,-0.916666666666667
"Study 4","Thailand",31231,"female",20,"Thai",0,0,"Buddhism","rural","Buddhism",1,"Wat Suan Dok",".",1.42857142857143,1.78571428571429,0.857142857142857,0.466666666666667,0.5,0.5,0.571428571428571,-0.222222222222222,-0.5
"Study 4","Thailand",31232,"female",21,"Thai",0,0,"Contract worker","rural","Buddhism",0,"Wat Chai Mongkol",".",0.705882352941177,2.14285714285714,1.57142857142857,0.666666666666667,0.411764705882353,0,0.571428571428571,-0.388888888888889,-0.583333333333333
"Study 4","Thailand",31233,NA,NA,"Thai",0,0,"farmer","rural","Buddhism",1,"village temple",".",0.125,1.71428571428571,0.571428571428571,0.133333333333333,0.411764705882353,0.333333333333333,0.285714285714286,0,-0.5
